rid,rname,rdescription,rrequirements_json
417,Assistant District Supervisor,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
418,Senior District Supervisor,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
419,Lead District Supervisor,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
420,Head of District Supervisor,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
421,Junior Regional Operations Director,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
422,Assistant Regional Operations Director,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
423,Senior Regional Operations Director,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
424,Lead Regional Operations Director,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
425,Head of Regional Operations Director,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
426,Junior Product Manager,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
427,Assistant Product Manager,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
428,Senior Product Manager,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
429,Lead Product Manager,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
430,Head of Product Manager,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
431,Junior HR Manager,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
432,Assistant HR Manager,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
433,Senior HR Manager,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
434,Lead HR Manager,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
435,Head of HR Manager,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
436,Junior HR Specialist,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
437,Assistant HR Specialist,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
438,Senior HR Specialist,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
439,Lead HR Specialist,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
440,Head of HR Specialist,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
441,Junior Recruitment Officer,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
442,Assistant Recruitment Officer,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
443,Senior Recruitment Officer,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
444,Lead Recruitment Officer,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
445,Head of Recruitment Officer,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
446,Junior Welfare Coordinator,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
447,Assistant Welfare Coordinator,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
448,Senior Welfare Coordinator,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
449,Lead Welfare Coordinator,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
450,Head of Welfare Coordinator,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
451,Junior Payroll Admin,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
452,Assistant Payroll Admin,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
453,Senior Payroll Admin,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
454,Lead Payroll Admin,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
455,Head of Payroll Admin,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
456,Junior Support Agent,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
457,Assistant Support Agent,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
458,Senior Support Agent,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
459,Lead Support Agent,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
460,Head of Support Agent,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
461,Junior Customer Experience Lead,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
462,Assistant Customer Experience Lead,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
463,Senior Customer Experience Lead,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
464,Lead Customer Experience Lead,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
465,Head of Customer Experience Lead,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
466,Junior Returns Specialist,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
467,Assistant Returns Specialist,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
468,Senior Returns Specialist,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
469,Lead Returns Specialist,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
470,Head of Returns Specialist,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
471,Junior Warehouse Worker,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
472,Assistant Warehouse Worker,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
473,Senior Warehouse Worker,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
474,Lead Warehouse Worker,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
475,Head of Warehouse Worker,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
476,Junior Inventory Supervisor,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
477,Assistant Inventory Supervisor,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
478,Senior Inventory Supervisor,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
479,Lead Inventory Supervisor,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
480,Head of Inventory Supervisor,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
481,Junior Forklift Operator,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
482,Assistant Forklift Operator,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
483,Senior Forklift Operator,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
484,Lead Forklift Operator,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
485,Head of Forklift Operator,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
486,Junior Stock Controller,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
487,Assistant Stock Controller,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
488,Senior Stock Controller,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
489,Lead Stock Controller,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
490,Head of Stock Controller,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
491,Junior Warehouse Manager,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
492,Assistant Warehouse Manager,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
493,Senior Warehouse Manager,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
494,Lead Warehouse Manager,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
495,Head of Warehouse Manager,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
496,Junior Sales Associate,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
497,Assistant Sales Associate,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
498,Senior Sales Associate,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
499,Lead Sales Associate,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
500,Head of Sales Associate,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
